Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
Metalware,https://www.crunchbase.com/organization/metalware,,,Active,For Profit,2023-09-01,"Metalware is a co-pilot for firmware developers around the world. Metalware provides embedded systems faster by automating low-level programming. Metalware was founded in 20232 and was headquartered in San Francisco, California.",Seed,2023-06-01,month,"Artificial Intelligence (AI), B2B, Developer Tools, Hardware, SaaS, Software","San Francisco, California, United States",Metalware is a co-pilot for firmware developers around the world.,"30,217",3000000,USD,3000000,3000000,USD,3000000,0,,,https://www.metalware.io,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/getmetalware,,https://www.linkedin.com/company/metalwareinc,,,,,,2,1-10,"Andrew Nedea, Ryan Chow"
Lyzr AI,https://www.crunchbase.com/organization/lyzr-ai,,,Active,For Profit,2023-09-01,"Lyzr is an Enterprise Generative AI Platform offering private and secure Agent SDKs that are fully integrated, capable of replicating the entire workflow of popular GenAI SaaS products. Enterprises can now build and launch secure Generative AI applications in their own cloud or on-premise environment in minutes to hours. Lyzr AIMS platform (AI Management System) allows enterprises launch SDKs with secret keys, track SDK analytics, manage LLM operations, design and productionize prompts. All within their cloud environment.",Angel,2023-07-01,day,"Apps, Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, Information Technology, Language Learning, Machine Learning, Open Source, SaaS","Jersey City, New Jersey, United States",Private and Secure AI Agents for Enterprise,"31,156",200000,USD,200000,200000,USD,200000,,,,https://www.lyzr.ai,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/lyzrai,,https://www.linkedin.com/company/lyzr-platform/,,,,,,1,11-50,Siva S
Onnix.,https://www.crunchbase.com/organization/onnix-d36a,878,3,Active,For Profit,2023-06-01,"Onnix provides a no-code platform leveraging AI and modern data science to speed up workflows and derive deeper, quicker, and more accurate insights.",Pre-Seed,2023-06-01,month,"Artificial Intelligence (AI), B2B, Finance, FinTech, SaaS","New York, New York, United States","AI Co-Pilot for bankers. Leveraging a no-code platform to speed up workflows and derive deeper, quicker, and more accurate insights.","31,193",500000,USD,500000,500000,USD,500000,1,Y Combinator,1,https://www.onnix.ai,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/Onnix_AI,,https://www.linkedin.com/company/onnixai/,,,,,,3,1-10,"Jake Johnson, Milan Bhandari, Mrinal Singh"
Nowadays,https://www.crunchbase.com/organization/nowadays-ai,429,,Active,For Profit,2023-07-05,"Nowadays is an AI-powered event planning copilot that takes the hassle out of organizing corporate events. For example, just input event details, and our AI will call venues and deal with negotiations for you.",Pre-Seed,2023-07-05,day,"Artificial Intelligence (AI), Event Management, Events","Mercer Island, Washington, United States",AI co-pilot for corporate events,"32,876",500000,USD,500000,500000,USD,500000,1,Y Combinator,1,https://www.getnowadays.com/,"Greater Seattle Area, West Coast, Western US",,https://twitter.com/getnowadays1?lang=bg,,https://www.linkedin.com/company/getnowadays,,,,,,,1-10,
CodeGPT,https://www.crunchbase.com/organization/codegpt,"79,903",,Active,For Profit,2023-09-12,"With over 1 million expected global downloads this year, CodeGPT's reach has grown solely through word-of-mouth. We offer an AI pair programming solution that enhances coding abilities using coding chat assistant, context management, AI agent creation and GitHub repo synchronization; and our plug & play API allows for the creation of custom solutions, effortlessly handling all the complexities of fine-tuning LLMs. At the heart of our vision is a dream to revolutionize technology creation using the potential of AI. Our focus is on creating an all-in-one AI solution for software development,. Our mission is to empower developers to be more productive.",Pre-Seed,2023-03-26,day,"Artificial Intelligence (AI), Machine Learning, SaaS","Miami, Florida, United States",AI plug-and-play solutions for software engineers,"33,000",120000,USD,120000,1245000,USD,1245000,2,"Techstars, Manutara Ventures",1,https://codegpt.co/,"Greater Miami Area, East Coast, Southern US",,https://twitter.com/codegptAI,https://www.facebook.com/groups/1590127588169761,https://www.linkedin.com/company/codegpt,,,,,,3,11-50,"Alvaro Chavez, Daniel Ávila, Gustavo Espíndola"
DGTLsuite,https://www.crunchbase.com/organization/dgtlsuite,612,2,Active,For Profit,2023-11-01,"Customer expectations are consistently being reshaped by sweeping advances in technology and high-quality digital customer experience is expected in every brand’s online interactions. The SaaS model of DGTLsuite solves the four largest problems businesses face in meeting the demands of their customers online: digital community management, customer care service automation, creative content logistics, and actionable insights from analytics.",Seed,2024-01-08,day,"B2B, Natural Language Processing, SaaS, Software","San Antonio, Texas, United States","DGTLsuite is a B2B SaaS platform where marketing, customer care, and digital come together come together to create happy customers!","34,311",1154100,USD,1154100,1154100,USD,1154100,,,,https://www.dgtlsuite.com,Southern US,$1M to $10M,https://twitter.com/dgtlsuite,https://www.facebook.com/dgtlsuite,https://www.linkedin.com/showcase/dgtlsuite/,,,,,,2,11-50,"Clayton Thomas, Shaun Williams"
Kapeta,https://www.crunchbase.com/organization/kapeta,69,,Active,For Profit,2023-06-01,"Through the use of cutting-edge open source technology and AI - Kapeta redefines how we design, build and deploy software. Kapeta blurs the lines between software framework, internal developer platforms, CI/CD, API management, software monitoring,  security software and more - to provide a batteries included software development experience where software engineers can focus on creating value - and everything else is automated.",Angel,2023-03-01,day,"Artificial Intelligence (AI), Cloud Security, Developer Platform, Developer Tools, Machine Learning, Open Source, PaaS, SaaS, Software","San Francisco, California, United States",Kapeta redefines how software is built - accelerating and improving every part of the development and deployment life cycle,"34,760",1000000,USD,1000000,1000000,USD,1000000,3,"Jacob Laurvigen, Richard Sheldon, Henrik Hofmeister",,https://kapeta.com,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/kapeta/,,,,,,3,1-10,"Henrik Hofmeister, Jacob Laurvigen, Richard Sheldon"
BAILEY AI,https://www.crunchbase.com/organization/bailey-ai,"1,240",,Active,For Profit,2023-07-31,,Pre-Seed,2023-07-10,day,"3D Technology, Artificial Intelligence (AI), Data Visualization, Film Production","Venice, California, United States",Bailey AI Film Company,"35,976",5000000,USD,5000000,5000000,USD,5000000,,,,https://aifilmcompany.com,"Greater Los Angeles Area, West Coast, Western US",,,,https://www.linkedin.com/company/bailey-ai,,,,,,,1-10,
"Artificial Intelligence Risk, Inc.",https://www.crunchbase.com/organization/artificial-intelligence-risk-inc,,,Active,For Profit,2024-01-24,"AI will change the world and be foundational to business in the near future. We will need tools to Control and monitor AI to make it safe, trustworthy, and compliant. Artificial Intelligence Risk, Inc. provides world-class cybersecurity, risk, compliance and cybersecurity management of AI systems. Identifying security flaws, bias, and inaccuracies in AI systems will be critical at most companies for the foreseeable future. Having a third-party certifier will go from “nice to have” to a requirement in the near-term. AI Risk, Inc. will initially focus on managing the risk of AI systems at medium-to-large companies.",Angel,2023-07-19,day,"Artificial Intelligence (AI), Software","Cos Cob, Connecticut, United States","Providing a governance, risk, compliance, and cybersecurity software platform for artificial intelligence systems to businesses.","35,983",400000,USD,400000,420000,USD,420000,1,"Owl Peak Management, LLC",1,https://www.aicrisk.com,"East Coast, New England, Northeastern US",,,,https://www.linkedin.com/company/artificial-intelligence-risk-inc/,,,,,,2,1-10,"Alec Crawford, Frank Fitzgerald"
Mirage Security,https://www.crunchbase.com/organization/rosnik-ai,,,Active,For Profit,2023-09-15,,Pre-Seed,2023-09-14,day,"Apps, Artificial Intelligence (AI), IT Management","San Francisco, California, United States",Deep fakes for good,"37,112",400000,USD,400000,400000,USD,400000,1,South Park Commons,,https://www.miragesecurity.ai,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/rosnik_AI,,https://www.linkedin.com/company/rosnik,,,,,,2,1-10,"Nick DiRienzo, Ross Lazerowitz"
TO Ventures,https://www.crunchbase.com/organization/to-ventures-06b1,,2,Active,For Profit,2023-10-25,,Undisclosed,2023-10-01,month,"Angel Investment, Artificial Intelligence (AI), FinTech, Social Entrepreneurship, Venture Capital, Wholesale","Dallas, Texas, United States",Venture Capital & Private Equity,"39,795",65000,USD,65000,65000,USD,65000,1,Thomas Owen,,http://towenventures.com/,"Dallas/Fort Worth Metroplex, Southern US",,https://twitter.com/towenventures,,https://linkedin.com/company/to-ventures,1,,,,,1,1-10,Thomas Owen
BenchmarkAI,https://www.crunchbase.com/organization/benchmarkai,,,Active,For Profit,2024-02-13,"BenchmarkAI makes public data accessible with AI. Our first product, Benchmark990, enables anyone to find details about every non-profit in the United States based on their tax forms, the 990 form. With simple questions, find how much a nonprofit makes, who has donated, how much employees get paid, how much money was given in grant dollars, and much more.",Seed,2023-06-23,day,"Artificial Intelligence (AI), Non Profit","Fargo, North Dakota, United States",Making public data accessible with AI,"40,185",1141000,USD,1141000,1141000,USD,1141000,,,,https://benchmarkai.co,Midwestern US,,https://twitter.com/benchmarkai,,,,,,,,,1-10,
NeuroReef,https://www.crunchbase.com/organization/neuroreef,,,Active,For Profit,2023-11-01,,Pre-Seed,2023-07-01,month,"Artificial Intelligence (AI), Health Care, Neuroscience, Software","Austin, Texas, United States","A neuro-inspired ecosystem of intelligent systems to reduce clinical staff requirements, improve patient satisfaction, and increase revenue.","40,535",475000,USD,475000,475000,USD,475000,2,"Antler, Angel Investor",1,https://www.neuroreef.com/,Southern US,,,,,,,,,,1,1-10,Satwant Kumar
Caden AI,https://www.crunchbase.com/organization/caden-ai,439,1,Active,For Profit,2023-08-16,"Caden AI provides full lifecycle tooling for building generative AI applications. Transforms prompts into APIs instantly, connect data sources and get to rock solid production deployments.",Pre-Seed,2023-04-26,day,"Artificial Intelligence (AI), Enterprise Software, Natural Language Processing, SaaS, Software","New York, New York, United States","Caden AI provides full lifecycle tooling for generative AI--transform prompts into APIs instantly, connect data sources, go live","42,149",250000,USD,250000,250000,USD,250000,1,Forum Ventures,1,https://www.cadenai.com,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/Caden__AI,,https://www.linkedin.com/company/caden-ai,,,,,,2,1-10,"Davis Sawyer, Paul Dlug"
Zenzio AI,https://www.crunchbase.com/organization/zenzio-solutions,107,3,Active,For Profit,2023-06-01,Zenzio AI creates AI sales assistants beginning with the automotive retail industry. The solution is live in production serving thousands of true sales conversations.,Seed,2023-04-01,month,"Artificial Intelligence (AI), SaaS, Sales Enablement, Web Apps","Tampa, Florida, United States",Zenzio AI provides real time AI sales assistant solutions for automotive retail.,"42,276",230000,USD,230000,470000,USD,470000,,,,https://zenzio.com/,"Tampa Bay Area, East Coast, Southern US",,,,https://www.linkedin.com/company/zenziosolutions/,,,,,,2,1-10,"Andrew Grubbs, Lane Campbell"
Kallo AI,https://www.crunchbase.com/organization/kallo-ai,,1,Active,For Profit,2023-11-19,"Kallo is a cutting-edge AI-powered advisor, revolutionizing customer experience across industries. With a focus on personalization, contact efficiency, and seamless interactions across channels, Kallo empowers businesses to elevate their customer journeys like never before.",Seed,2023-05-01,month,"Artificial Intelligence (AI), Customer Service, Software","Columbus, Ohio, United States",AI customer enablement for frictionless experiences across the entire customer journey.,"42,415",160000,USD,160000,770000,USD,770000,,,,https://kallo.ai,"Great Lakes, Midwestern US",,,,https://www.linkedin.com/company/kalloai/,,,,,,2,1-10,"Matt Toddy, Ryan Prestel"
